"Adidas"
"Allianz_SE"
"BASF"
"Bayer_AG"
"Beiersdorf_AG"
"BMW"
"Commerzbank"
"Continental_AG"
"Daimler_AG"
"Deutsche_Bank"
"Deutsche_Börse"
"Lufthansa"
"Deutsche_Post_AG"
"Deutsche_Telekom"
"E.ON"
"Fresenius_Medical_Care"
"Fresenius_(Unternehmen)"
"Fresenius_SE"
"HeidelbergCement"
"Henkel_(Unternehmen)"
"Henkel-Konzern"
"Infineon"
"Linde_AG"
"Merck_KGaA"
"Munich_Re"
"Münchener_Rück"
"ProSiebenSat.1_Media"
"RWE"
"SAP"
"Siemens"
"Thyssenkrupp"
"Volkswagen_AG"
"Lanxess"
